movie_id,title,youtube_key,comment
980477,Ne Zha 2,ETlOSBR92Fs,Absolute kick ass movies 32 years of age and this shit is Absolute fire 🔥
980477,Ne Zha 2,ETlOSBR92Fs,Pretty sure A24 is the only studio worthy enough to be the ones to distribute this awesome film lol
980477,Ne Zha 2,ETlOSBR92Fs,First film is current on Peacock in the US
980477,Ne Zha 2,ETlOSBR92Fs,0:25 RIP Dr. Eggman Taiyi
980477,Ne Zha 2,ETlOSBR92Fs,I can t stop smiling watching this
980477,Ne Zha 2,ETlOSBR92Fs,"Just watched it and DUDE... WHAT A MOVIE!!! Thank goodness Ne Zha 3 is in the works....but start planning 4, 5, and 6 right now. No complaints about the 5 year gap. 10 Oscars! 😅"
980477,Ne Zha 2,ETlOSBR92Fs,Pure talent. No words
980477,Ne Zha 2,ETlOSBR92Fs,The first one didnt disappoint as well.
980477,Ne Zha 2,ETlOSBR92Fs,I look forward to watching it! 😊
980477,Ne Zha 2,ETlOSBR92Fs,I watched this months ago. It is that good and I didn't have to watch the first one to understand the plot. 😁
980477,Ne Zha 2,ETlOSBR92Fs,I remember seeing this movie and thinking it was pretty cool. I did not know it was THIS popular.
980477,Ne Zha 2,ETlOSBR92Fs,A24 PRODUCED THE ENGLISH DUB????... I might be intrigued.
980477,Ne Zha 2,ETlOSBR92Fs,I can’t wait for it to be out!
980477,Ne Zha 2,ETlOSBR92Fs,Saw this randomly after seeing reviews and it’s without a doubt the best animated movie I’ve seen. Simply incredible. And now I get to witness it again in imax 3d in English.
980477,Ne Zha 2,ETlOSBR92Fs,Incredible movie 👏
980477,Ne Zha 2,ETlOSBR92Fs,I just watched it easily top 3 movies of all times… cant wait for the next one 💙💙💙
980477,Ne Zha 2,ETlOSBR92Fs,Loved the first one shout out to everyone involved in getting it translated this fast can’t wait to watch it in English love the first one
980477,Ne Zha 2,ETlOSBR92Fs,A must see!! 🍿🍿
980477,Ne Zha 2,ETlOSBR92Fs,This is going straight into my favorites playlist
